GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tokenizer,tokenizer.tokens.keywords,ThisToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.keywords,NewToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.keywords,ConstructorKeywordToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.keywords,StringKeywordToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.keywords,ForToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.keywords,IntKeywordToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.keywords,IfToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.keywords,PrintToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.keywords,PrintlnToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.keywords,ReturnToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.keywords,WhileToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.keywords,ClassKeywordToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.keywords,VoidToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.keywords,ElseToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.keywords,BoolKeywordToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.operatortokens,EqualEqualToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.operatortokens,DotOperatorToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.operatortokens,DivisionToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.operatortokens,MinusToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.operatortokens,MultiplicationToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.operatortokens,GreaterThanOrEqualToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.operatortokens,LessThanToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.operatortokens,PlusToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.operatortokens,LessThanOrEqualToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.operatortokens,GreaterThanToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.operatortokens,EqualToken,0,5,0,0,0,2,0,2,0,2
tokenizer,tokenizer.tokens.operatortokens,ModulusToken,0,5,0,0,0,2,0,2,0,2
tokenizer,parser.statements,BlockStmt,72,0,4,0,11,0,6,0,4,0
tokenizer,parser.statements,ReturnStmt,24,0,0,0,5,0,3,0,3,0
tokenizer,parser.statements,IfElseStmt,40,0,0,0,7,0,3,0,3,0
tokenizer,parser.statements,VariableAssignmentStmt,32,0,0,0,6,0,3,0,3,0
tokenizer,parser.statements,ForStmt,48,0,0,0,8,0,3,0,3,0
tokenizer,parser.statements,PrintStmt,24,0,0,0,5,0,3,0,3,0
tokenizer,parser.statements,PrintlnStmt,24,0,0,0,5,0,3,0,3,0
tokenizer,parser.statements,VariableInitializerStmt,40,0,0,0,7,0,3,0,3,0
tokenizer,parser.statements,IfStmt,32,0,0,0,6,0,3,0,3,0
tokenizer,parser.statements,VariableDeclarationStmt,72,0,2,0,14,0,5,0,4,0
